Reporter Countries,Partner Countries,Item Code,Element Code,Unit,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
Afghanistan,Bulgaria,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,,,,,,,,,,
Afghanistan,Eswatini,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A,,,,,,,,,,,,,,
Afghanistan,India,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A,,,,,,,,,,
Afghanistan,Indonesia,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,A,,,,,,,,,,
Afghanistan,Iran (Islamic Republic of),656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,A,,,,,,,,,,
Afghanistan,Italy,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,A,,,4.0,A,,,,,,,,,,
Afghanistan,Malaysia,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,A,,,,,,,,,,,,,,
Afghanistan,Netherlands (Kingdom of the),656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A,,,,,,,,,,
Afghanistan,Türkiye,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,A,,,25.0,A,,,,,,,,,,
Afghanistan,Turkmenistan,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,A,,,22.0,A,,,,,,,,,,
Afghanistan,United Arab Emirates,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,A,,,,,,,,,,
Afghanistan,United Kingdom of Great Britain and Northern Ireland,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,A,,,,,,,,,,
Afghanistan,United States of America,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,A,,,,,,,,,,
Albania,Australia,657,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Australia,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Austria,657,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,3.0,A,,,,,6.0,A,,,,,54.0,A,,,8.0,A,26.0,A,126.0,A,,,0.0,A,0.0,A,0.0,A,31.0,A,2.0,A,7.0,A,,,0.0,A,,,,,,,,,,,,,,,,,,
Albania,Austria,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,A,,,3.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Belgium,657,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A,,,,,,,,,,,,,,,,,,,,,,
Albania,Bosnia and Herzegovina,657,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,A,,,,,1.0,A,,,,,,,,,,,,,,,,,,,,,,
Albania,Bosnia and Herzegovina,657,5922,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Brazil,657,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,A,,,9.0,A,22.0,A,,,,,14.0,A,5.0,A,8.0,A,2.0,A,11.0,A,3.0,A,13.0,A,,,,,,,,,,,,,,,,,,,,,,
Albania,Brazil,656,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079.0,A,1760.0,A,1359.0,A,1817.0,A,2362.0,A,2308.0,A,4738.0,A,5136.0,A,6439.0,A,6357.0,A,5803.0,A,5439.0,A,6556.0,A,7220.0,A,4958.0,A,6161.0,A,5822.0,A,4487.0,A,6515.0,A,4099.0,A,6129.0,A,5606.0,A,,,6869.0,A,7286.0,A
Albania,Bulgaria,657,5622,1000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A,,,19.0,A,73.0,A,19.0,A,,,,,,,,,,,,,,,,,,,,,,
