typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","84","BLZ","Belize","DX","Domestic Export","0","W00","World","0","W00","World","H6","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","DX","Domestic Export","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","X","Export","842","USA","USA","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","X","Export","842","USA","USA","0","W00","World","H6","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","DX","Domestic Export","842","USA","USA","0","W00","World","H6","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","DX","Domestic Export","842","USA","USA","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.128","false","8","kg","5.128","false","5.128","false","0","false",,"201.75","201.75","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","M","Import","792","TUR","Türkiye","0","W00","World","H6","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","244.43","false","8","kg","244.43","false","244.43","false","0","false","1147.905",,"1147.905","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1458.678","false","8","kg","1458.678","false","1458.678","false","0","false","19867.83",,"19867.83","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","552.678","false","8","kg","552.678","false","552.678","false","0","false","9215.43",,"9215.43","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","M","Import","340","HND","Honduras","0","W00","World","H6","HS","true","090111","Coffee; not roasted or decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","906","false","8","kg","906","false","906","false","0","false","10652.4",,"10652.4","0","false","true",
